M,P,horizon_hours,max_k,total_return,profit_factor,max_drawdown,n_trades,turnover,total_trade_cost,total_funding,n_bars,sharpe
336,0.99,72,10,-0.9908305454046858,0.9662796726767291,0.9979075311736528,51745,11028.340476190477,11.028340476190477,-0.7925611406309525,33390,-0.8245871692315497
336,0.99,168,3,-0.9936782610806326,0.9655034776392255,0.9982867227712297,27289,11435.0,11.434999999999999,-0.8861631999999999,33390,-0.8364622229562351
336,0.99,168,5,-0.9936370013232441,0.9633345880814613,0.9982196197774161,37424,11190.199999999999,11.1902,-0.823143191,33390,-0.8934625889804483
336,0.99,168,10,-0.9912281159847625,0.9656752309860673,0.9978811017689265,51690,10989.59285714286,10.989592857142856,-0.7914083243214285,33390,-0.839649684150442
720,0.95,24,3,-0.9999975164092405,0.8935621706517373,0.9999979195096389,59046,20380.0,20.38,-0.9212538516666666,33390,-2.9715282210195344
720,0.95,24,5,-0.9999780485278712,0.904098122525825,0.9999812914691192,87900,18377.133333333335,18.377133333333333,-0.8282475953333333,33390,-2.7022520667212016
720,0.95,24,10,-0.9999420509294686,0.9086948443919539,0.9999473972217121,139469,16446.227777777778,16.44622777777778,-0.7643086354642857,33390,-2.5672039174538677
720,0.95,72,3,-0.9999979229824489,0.8915920846081328,0.9999982742485758,58739,20264.666666666664,20.264666666666667,-0.9177074633333333,33390,-3.030000161807584
720,0.95,72,5,-0.9999802807489712,0.9028025357511158,0.9999833306428538,87430,18250.033333333333,18.250033333333334,-0.8268381748333333,33390,-2.742393886547593
720,0.95,72,10,-0.9999441645622852,0.9080507059273687,0.999949728188543,138989,16322.396825396827,16.322396825396826,-0.7611139776626984,33390,-2.587526432903198
720,0.95,168,3,-0.9999979345423299,0.8915338041252533,0.9999982838534445,58719,20259.333333333332,20.259333333333334,-0.916798755,33390,-3.0316069945030777
720,0.95,168,5,-0.9999798177702971,0.9029636412557092,0.9999829392711502,87374,18241.333333333336,18.241333333333333,-0.8260419016666667,33390,-2.7369082937959988
720,0.95,168,10,-0.9999441968519671,0.907994588150823,0.999949757260775,139001,16315.761111111111,16.31576111111111,-0.760390500611111,33390,-2.588677056022643
720,0.98,24,3,-0.9997522067435354,0.9371450895481802,0.9998593232278811,37869,14437.333333333332,14.437333333333333,-0.9602556083333333,33390,-1.6467037153555164
720,0.98,24,5,-0.9994870794637193,0.9408085834135028,0.9997688557095484,53203,13654.7,13.6547,-0.899358727,33390,-1.554011484685059
720,0.98,24,10,-0.999333220483637,0.941242819899015,0.9996601104302373,75036,12959.592063492064,12.959592063492064,-0.8487434666190476,33390,-1.547341437716128
720,0.98,72,3,-0.9997287187565814,0.9376419685155684,0.9997794969636362,37286,14123.0,14.123,-0.9664388866666667,33390,-1.6498708174605436
720,0.98,72,5,-0.999333390018636,0.9429651896431199,0.99962230214375,52511,13332.2,13.3322,-0.9005962176666668,33390,-1.5110905346002446
720,0.98,72,10,-0.9991530918978612,0.943275775817337,0.9995033136859526,74461,12630.455555555554,12.630455555555557,-0.8482072086190476,33390,-1.5080397867338773
720,0.98,168,3,-0.9997171672702184,0.9379821904372779,0.9997750004139592,37249,14099.0,14.099,-0.9667073416666667,33390,-1.6410427526407605
720,0.98,168,5,-0.9992891056006489,0.9435285595110771,0.9996079412920016,52427,13309.266666666666,13.309266666666666,-0.9004448678333333,33390,-1.4957401570332154
720,0.98,168,10,-0.9990817118753764,0.9440582106233304,0.9994844881348874,74424,12607.110317460316,12.60711031746032,-0.8477864419642858,33390,-1.486628685912897
720,0.99,24,3,-0.9974335280086657,0.9558421120949273,0.9986816159502307,25127,10529.666666666668,10.529666666666667,-0.9150079616666665,33390,-1.0612096555732948
720,0.99,24,5,-0.996173878833694,0.9577765602421908,0.9984049343184399,33775,10155.300000000001,10.1553,-0.8561378056666666,33390,-1.0223915014947607
720,0.99,24,10,-0.995765017845713,0.9576125846193051,0.9981778437692792,47044,9851.60634920635,9.85160634920635,-0.8123070931746033,33390,-1.0309687694606968
720,0.99,72,3,-0.9944462593078225,0.9642329737661649,0.9971100467956278,24414,10114.666666666668,10.114666666666666,-0.9313533333333333,33390,-0.8720297690333133
720,0.99,72,5,-0.9940468696186512,0.9628321761236945,0.9976403094197929,33055,9775.333333333334,9.775333333333334,-0.868507222,33390,-0.9149227974788419
720,0.99,72,10,-0.992785229057751,0.9636058366599979,0.9970996125588852,46148,9464.28492063492,9.46428492063492,-0.8229505029325397,33390,-0.899841108981989
720,0.99,168,3,-0.9944388057460397,0.9641560636531669,0.9973057586555255,24307,10053.0,10.053,-0.9389810866666666,33390,-0.8753738511853194
720,0.99,168,5,-0.9931048047385592,0.9643079816709078,0.9974359984761548,32947,9707.866666666667,9.707866666666668,-0.8727844776666667,33390,-0.878973480777298
720,0.99,168,10,-0.992618465647996,0.9638078957855617,0.9972531332278789,46136,9407.227777777778,9.407227777777777,-0.8274504264484126,33390,-0.8959148500205214
