M,bucket,horizon_hours,count,mean,median,std,t_stat
168,"(75,95%]",72,160582,0.00508198464026703,-0.0016970473523168494,0.10901273645642627,18.681190016337073
168,"(95,98%]",72,23155,0.008722743205741066,-0.0013875398917718718,0.11927958718881988,11.127801049908001
168,"(98,99%]",72,9702,0.009609177136176435,-0.0011732476047249807,0.1227045476074235,7.713583334138249
168,"(99,99.5%]",72,5529,0.012299426411280786,-0.003178206583427934,0.1402437239608763,6.5211579298394025
168,"(99.5,99.8%]",72,48,-0.0009199111932619089,-0.004207122272065322,0.057714808394008735,-0.11042801454375716
168,"(99.8,100%]",72,6142,0.01372833633845757,0.0011865766969805236,0.14303627357308588,7.52188396376381
168,"(.5,1%]",168,5743,0.02394582920204111,0.00480833444637363,0.1891995776396718,9.591336458744282
168,"(1,2%]",168,10357,0.01908332223496117,0.0014669926650368037,0.18188392040478812,10.677674195552132
168,"(2,5%]",168,24503,0.01984051920697615,0.0036496350364962904,0.18353047079311716,16.9221088536323
168,"(25,75%]",168,370657,0.015538505760455365,-0.0010868491255805468,0.18433126715784282,51.32114625009195
168,"(5,25%]",168,157442,0.019949491947406774,0.0026660100920186114,0.18941934663012813,41.789560601830665
168,"(75,95%]",168,159754,0.0180290838494906,-0.0014264207010016294,0.18884054130855277,38.15964206618807
168,"(95,98%]",168,23086,0.025363684149690938,-0.0009215307483553259,0.21231791794269703,18.150978204694404
168,"(98,99%]",168,9673,0.028143708404573326,-0.0010230926629641868,0.21723251485737427,12.741984907933084
168,"(99,99.5%]",168,5518,0.03275089515224243,-0.003359688405668859,0.24173546442042562,10.064070106047767
168,"(99.5,99.8%]",168,47,-0.011083697673200782,-0.0031284916201117507,0.09741651424579481,-0.7800115158196946
168,"(99.8,100%]",168,6123,0.02904347826011911,-0.0026722772396948757,0.21762761772604697,10.442794893120535
336,"(.2,.5%]",1,3162,0.004853732915925939,0.002320868938060827,0.030655926881335217,8.903122647958359
336,"(.5,1%]",1,5551,0.0014791821039100437,0.0010391409767924742,0.022590352817626773,4.878476796134804
336,"(1,2%]",1,7952,0.0007936800254124837,0.0008812368474564458,0.01748272243065164,4.048317574009154
336,"(2,5%]",1,24973,0.00044340313500021807,0.0005705591479649996,0.016228034748255994,4.317856342392923
336,"(25,75%]",1,370571,7.978466510692568e-05,7.352400558802152e-05,0.011858760081836114,4.095584194978725
336,"(5,25%]",1,160666,0.00032656962010898946,0.00038233575088564287,0.01404366361776519,9.320889369647173
336,"(75,95%]",1,161313,-0.0001554036972472667,-0.0001924716104374502,0.011917750080122165,-5.23723132885707
336,"(95,98%]",1,24165,-0.0002687471499139725,-0.00042371532208484997,0.012596364426606008,-3.3165920103947193
336,"(98,99%]",1,7934,-0.000599844993257225,-0.0004872032573062235,0.013878704218649361,-3.8497826959929746
336,"(99,99.5%]",1,5706,-0.0002748056107649674,-0.000451316023091175,0.014861628172266609,-1.3967706086162412
336,"(99.5,99.8%]",1,3284,-0.00042458004686946505,-0.00027925011422624824,0.01620136179572017,-1.5017914740725695
336,"(99.8,100%]",1,3654,0.00025157409446921453,-0.0003323407004811041,0.020086884808640303,0.7570727257460539
336,"(.2,.5%]",4,3162,0.008129615629636848,0.0034602104371707076,0.0496158127363877,9.213631435330678
336,"(.5,1%]",4,5551,0.003124281789761243,0.0016711928138708476,0.03923627759205111,5.932640233531167
336,"(1,2%]",4,7952,0.001509936975159873,0.0015013030415637063,0.03343394598110065,4.027257226229156
336,"(2,5%]",4,24971,0.0012460421026655071,0.0011312217194570096,0.029635286262208866,6.644182571505953
336,"(25,75%]",4,370524,0.0003486430346637188,0.0002023369969201827,0.023479796048388048,9.038468417458432
336,"(5,25%]",4,160652,0.0008261447002357826,0.000773368018672671,0.02695727479942799,12.283530362409449
336,"(75,95%]",4,161275,-8.247443572856243e-05,-0.00033704078193474984,0.023435271911148196,-1.4132951914005094
336,"(95,98%]",4,24161,-0.00028398312357855036,-0.0008283132530121362,0.0249235563275059,-1.7710873160743696
336,"(98,99%]",4,7932,-0.00040587995003620394,-0.001047669224099157,0.026208345261664746,-1.3792701889069474
336,"(99,99.5%]",4,5704,-0.000776321634571285,-0.0014881773942027055,0.029341914259641305,-1.9982186312833483
336,"(99.5,99.8%]",4,3282,-0.0009862526370164053,-0.0012492400611283094,0.028545864424633135,-1.9793120423040906
336,"(99.8,100%]",4,3654,0.0013348586074422237,-0.0007915799523579015,0.037325391524624406,2.1617982742475466
336,"(.2,.5%]",8,3162,0.0085306703181978,0.0036849549420101546,0.07460242892189282,6.430002229328902
336,"(.5,1%]",8,5547,0.004615868718238612,0.0024245464426051466,0.05561418337687725,6.181544026921555
336,"(1,2%]",8,7947,0.0033613193519485946,0.0020257560410938957,0.04458202664557879,6.721273613185027
336,"(2,5%]",8,24963,0.0020618261005752934,0.0016901408450704647,0.039552890896346574,8.23611098144794
336,"(25,75%]",8,370467,0.000661398498279113,0.00015867978419548123,0.033050339703913495,12.180413755490692
336,"(5,25%]",8,160614,0.0013290849010304923,0.0009812102960733426,0.03702919921442415,14.384676623179589
336,"(75,95%]",8,161245,0.0002519899065709244,-0.0005589714924539857,0.033443407084073215,3.025629588140271
336,"(95,98%]",8,24158,-8.471835339607508e-05,-0.0011791028837989104,0.03457715827934422,-0.3808190774966274
336,"(98,99%]",8,7931,-0.0005497012608570169,-0.0018264840182647957,0.037437718155059384,-1.3076193470463477
336,"(99,99.5%]",8,5704,-4.9217190475021145e-05,-0.0016388668847244214,0.04034349319123,-0.09213679002725425
336,"(99.5,99.8%]",8,3281,-0.00048759738356000156,-0.001460024528412096,0.04068392657749328,-0.6865017044786991
336,"(99.8,100%]",8,3653,0.0008454841679745504,-0.0012789210556911623,0.04275279195534324,1.195269490936571
336,"(.2,.5%]",24,3122,0.01522306192081092,0.006512245569096908,0.0974036899611918,8.732589665313085
336,"(.5,1%]",24,5539,0.009189106106134262,0.005936422826503307,0.08532630061795068,8.015046236320636
336,"(1,2%]",24,7942,0.006291329971423754,0.004033402969117583,0.0764108453648996,7.337572422325869
336,"(2,5%]",24,24946,0.004566360415210848,0.0035858266944369666,0.06959087751025228,10.363783521129083
336,"(25,75%]",24,370232,0.00202839763843048,0.0005008013624366869,0.06356317385379243,19.417105862909875
336,"(5,25%]",24,160521,0.0035959408163053954,0.0021152829190904665,0.06571232806864899,21.924596525536845
336,"(75,95%]",24,161101,0.0016160505181152353,-0.0009523809523809268,0.06086199288574569,10.65756234713248
336,"(95,98%]",24,24138,0.0013614633687625468,-0.0023178985440480138,0.06255768827912951,3.3812393193004002
336,"(98,99%]",24,7923,0.0010632855216422027,-0.003352737454867083,0.06465682954837432,1.4637952148525601
336,"(99,99.5%]",24,5700,0.0019448198416709473,-0.003346609725388361,0.07009716267855759,2.0946736287140206
336,"(99.5,99.8%]",24,3272,0.0005541149850132209,-0.005299035265116603,0.0964492813035944,0.3286302571763554
336,"(99.8,100%]",24,3644,0.005465264241949971,-0.0029334286432892154,0.10730043919627805,3.0746723986011246
336,"(.2,.5%]",72,3118,0.012272429916652141,0.0037093202401723424,0.12453406955610263,5.502758278011024
336,"(.5,1%]",72,5521,0.012571221508156444,0.0055957867017775165,0.1286982698232608,7.257944517674206
336,"(1,2%]",72,7913,0.009627218738244101,0.00396563119629878,0.13529254078431138,6.329910499468964
336,"(2,5%]",72,24860,0.009572204496008551,0.0030042828068886918,0.13589600964556936,11.10595285752263
336,"(25,75%]",72,369359,0.00608275944400097,-0.0003947887879985901,0.10934661216759915,33.80801345106289
336,"(5,25%]",72,160074,0.009126251965143304,0.0022725428280533366,0.12067248655619137,30.258304697138154
336,"(75,95%]",72,160815,0.005937111202480506,-0.0018090589480151964,0.11035351103498353,21.575074575827042
336,"(95,98%]",72,24118,0.009512959893709705,-0.0011464626583080895,0.1198160069505846,12.330238276158951
336,"(98,99%]",72,7917,0.011484333295142571,-0.00013345433192768485,0.11835740080863746,8.633575499220301
336,"(99,99.5%]",72,5695,0.014278308477810404,-0.000535905680600246,0.14348774820953175,7.509461664202216
336,"(99.5,99.8%]",72,3271,0.016089265314180142,-0.0006963691313490727,0.1426392499323533,6.451154439341611
336,"(99.8,100%]",72,3643,0.019668825178516976,0.00395884799399604,0.1559536827929796,7.612238222287214
336,"(.2,.5%]",168,3105,0.02548123183502329,0.004426534786457825,0.187447088508313,7.574823576771424
336,"(.5,1%]",168,5493,0.023732254995257964,0.004734756981350952,0.17664288445455845,9.957439072241957
336,"(1,2%]",168,7880,0.018383370445464953,0.0010784912916776968,0.18348054987953685,8.894022310531465
336,"(2,5%]",168,24764,0.017916730082969103,0.0031054680797749645,0.1829402699106434,15.412029556717846
336,"(25,75%]",168,367704,0.01488211577616457,-0.0012906700884643407,0.18410526324981857,49.01710429647529
336,"(5,25%]",168,159484,0.017279203948196417,0.0019224049884427608,0.18377440388102725,37.54890423671021
336,"(75,95%]",168,159834,0.021786998789475487,-0.0002646084575494978,0.19672043790067412,44.27744078501655
336,"(95,98%]",168,24025,0.02678778086243794,-0.0018918702869781256,0.20611764735755372,20.144350020040708
336,"(98,99%]",168,7891,0.03067597257156667,-0.0006866245536939486,0.21193314565235497,12.857764830202935
336,"(99,99.5%]",168,5673,0.03247398473231741,-0.001953548947254302,0.2331751555245881,10.48961862902749
336,"(99.5,99.8%]",168,3262,0.034642383766615444,0.0004066675158711508,0.2194041269583755,9.017890436340574
336,"(99.8,100%]",168,3637,0.030568680057568902,-0.002507257851675937,0.2148035677162214,8.582362350105207
720,"(.2,.5%]",1,2901,0.0024299231658547124,0.001364109559536253,0.026896418155990746,4.865998354671816
