M,P,exit_mode,horizon_hours,max_k,total_return,profit_factor,max_drawdown,n_trades,turnover,total_trade_cost,total_funding,n_bars,sharpe
336,0.95,median,24,5,-0.9994051215272239,0.9348845853954765,0.9994536844027926,73434,15031.766666666666,15.031766666666666,-0.7677282188333333,33390,-1.778672939447919
336,0.95,median,24,10,-0.9999131487116046,0.9107460595690227,0.9999216847965336,140253,16537.850000000002,16.53785,-0.6994051166904762,33390,-2.4881749409068368
336,0.95,median,72,3,-0.9981951629375867,0.9525298645230668,0.9988592361310471,37614,13279.0,13.279,-0.8682442233333334,33390,-1.2553844104894731
336,0.95,median,72,5,-0.9993845110227073,0.9350264984979152,0.9994774029839738,72770,14849.433333333334,14.849433333333334,-0.7654650111666668,33390,-1.7742701817658797
336,0.95,median,72,10,-0.9999199514422703,0.9096087159358666,0.9999284798543383,139976,16412.878571428573,16.41287857142857,-0.6978919496984127,33390,-2.5215562042086272
336,0.95,median,168,3,-0.9982098161892972,0.9524535847066122,0.9988592361310471,37599,13274.666666666666,13.274666666666668,-0.8685649533333334,33390,-1.2575463106074667
336,0.95,median,168,5,-0.99938277493788,0.9350416346659923,0.9994694884760831,72776,14846.966666666667,14.846966666666667,-0.7657932671666667,33390,-1.7735531329042835
336,0.95,median,168,10,-0.9999205557745132,0.9095272656660829,0.9999290198007317,139951,16409.869047619046,16.409869047619047,-0.6980163474761905,33390,-2.5239336348414754
336,0.95,horizon,24,3,-0.8634878254121079,0.9957402393361116,0.9703752626783987,4536,1348.0,1.348,-0.6563413433333333,33390,-0.11268700839039773
336,0.95,horizon,24,5,-0.42262667665240927,1.0078128842000313,0.9124094356364039,10563,1438.4333333333334,1.4384333333333335,-0.5949583273333333,33390,0.2098727208594423
336,0.95,horizon,24,10,-0.704200256392178,0.9967056387890446,0.9175034040937443,40045,1613.4253968253965,1.6134253968253967,-0.5605546538015873,33390,-0.08616060398258654
336,0.95,horizon,72,3,-0.8199112101818714,0.9943989531960534,0.8620476578092949,1116,326.0,0.32600000000000007,-0.35087652499999994,33390,-0.14841851184346933
336,0.95,horizon,72,5,-0.5966136906389921,0.9999155789610015,0.7592024157780141,2565,336.1333333333333,0.33613333333333334,-0.3685263416666667,33390,-0.0022969201787947915
336,0.95,horizon,72,10,-0.4810008848572659,1.0007857028818596,0.6707640429374049,10085,362.1555555555555,0.36215555555555556,-0.33799088601190475,33390,0.0208532668671591
336,0.95,horizon,168,3,-0.8609417543484217,0.9905664012474377,0.9326749084333947,269,78.33333333333333,0.07833333333333334,-0.21645088666666668,33390,-0.2562702091762539
336,0.95,horizon,168,5,-0.538076873819474,1.0013683429954898,0.8026894477809197,685,89.93333333333334,0.08993333333333334,-0.27059292733333334,33390,0.03746016972846367
336,0.95,horizon,168,10,-0.5021701056622795,0.9988673217928283,0.7375342148866917,2886,104.515873015873,0.104515873015873,-0.3021602123571429,33390,-0.03162213795928059
336,0.98,median,24,3,-0.9972088008286444,0.9592467003542238,0.9978530333689958,30861,12416.333333333334,12.416333333333334,-0.8558017533333333,33390,-1.031229582131498
336,0.98,median,24,5,-0.9990343630780458,0.9448408137571338,0.9991366181381647,51070,13383.900000000001,13.383899999999999,-0.8192791670000001,33390,-1.434149737817468
336,0.98,median,24,10,-0.9997266076604926,0.930125930097447,0.9997632533682882,80033,13982.159523809523,13.982159523809523,-0.7672356653174603,33390,-1.8495010499465867
