lookback_days,vol_norm,bucket,horizon_hours,count,mean,median,std,t_stat
14,False,2.0,24,76562,0.0017303304863283,0.0007159513488956,0.0556318832638359,8.606209868928856
14,False,3.0,24,80038,0.0028401333385543,0.0008351682495296,0.0762520393123011,10.537446450337397
14,False,4.0,24,80968,0.0016469308147945,0.0007986614592396,0.0559778750042799,8.371738482919767
14,False,5.0,24,77389,0.0017308479939241,0.0010732492621412,0.0533567045365662,9.024217374764326
14,False,6.0,24,75273,0.0016081340141188,0.000397061743101,0.0591356925128875,7.46091622417211
14,False,7.0,24,81327,0.0024163361797635,0.0006291286568103,0.06256601959585,11.01377516136821
14,False,8.0,24,77169,0.0036730970978359,0.0,0.0705534557631721,14.462239673586714
14,False,9.0,24,89389,0.0054103103220291,-0.0006524575902566,0.0833408688577983,19.4091354783354
14,False,0.0,72,59323,0.0043494267875351,-0.0014119958254036,0.1028791747566796,10.297127866775494
14,False,1.0,72,81743,0.003645805500513,0.000682642905903,0.0987477188592547,10.555813539791965
14,False,2.0,72,76370,0.0051825595872029,0.0007538151383782,0.1054301488150772,13.584413099959209
14,False,3.0,72,79894,0.0073976743900912,0.0007622914389361,0.1410727281397463,14.822082609228543
14,False,4.0,72,80776,0.0057695870952983,0.0003053490913975,0.1010745512601741,16.22348245358031
14,False,5.0,72,77197,0.0047847258593824,0.0004154549231407,0.0936957753750677,14.188525401988318
14,False,6.0,72,75129,0.0072287222296236,0.0005186721991701,0.1028000626697869,19.27400474630197
14,False,7.0,72,81135,0.0078319805611313,0.0003656689129185,0.1097372734403463,20.329259318431998
14,False,8.0,72,76977,0.0104771866860781,-0.0009113249824702,0.1228058213044674,23.670433909482515
14,False,9.0,72,89197,0.0138822396909695,-0.0015904572564611,0.1451519408421781,28.56352585826755
14,False,0.0,168,59035,0.0066295423950759,-0.0014903129657227,0.1601266331917287,10.059462215017888
14,False,1.0,168,81359,0.0143055038712464,-0.0003026634382568,0.188294960351523,21.670416765651023
14,False,2.0,168,75986,0.0156628296039606,0.0007011156505272,0.1890885588589689,22.83346194761383
14,False,3.0,168,79606,0.0167402785097664,-0.0013408429166385,0.1855538150806876,25.454565732808945
14,False,4.0,168,80392,0.0155964273871866,0.0013797556160636,0.1700351364003987,26.00715644021163
14,False,5.0,168,76813,0.0137850156403713,0.0012791358726547,0.1688339581084209,22.62897198065314
14,False,6.0,168,74841,0.0203323779345107,0.0002696871628911,0.1908826801607803,29.140127008351385
14,False,7.0,168,80751,0.0190804451898961,0.000314267756128,0.1867755954851196,29.0296853416
14,False,8.0,168,76593,0.0239099599192605,-0.0002297266253158,0.1953031632233325,33.88161559774473
14,False,9.0,168,88813,0.0281660756019353,-0.003633213157821,0.2270689470398839,36.96637499169601
