form,x,exit_frac,m_events,k_max,filter,total_return,profit_factor,max_drawdown,n_trades,turnover,total_funding,sharpe,stress_total_return,eligible,phase
abs,3.0,1.0,1,3,trend72,-0.3062989868265712,1.0151185674914225,0.9348509723772166,9823,4669.333333333333,-1.0460699333333334,0.283443967948215,,False,preregistered
abs,3.0,1.0,1,5,none,-0.6032346883083458,1.009529609998006,0.9697503533540878,9513,3100.3666666666663,-1.6451943913333331,0.2270411336036795,,False,preregistered
abs,3.0,1.0,1,5,trend72,-0.2549171681646189,1.0154315824038085,0.9279263417492456,13156,4659.0,-1.0261992811666667,0.2923572956979811,,False,preregistered
abs,3.0,1.0,1,10,none,-0.351098245900043,1.0144677909063509,0.9542353103679624,12116,2944.8063492063493,-1.569697891123016,0.3445292762019248,,False,preregistered
abs,3.0,1.0,1,10,trend72,-0.3537749681102945,1.0125399269143192,0.9357103765053942,19117,4641.340476190476,-1.0093319381468255,0.238519204511151,,False,preregistered
abs,3.0,1.0,3,3,none,1.2795922907544206,1.0313076460396304,0.9251224359229452,3952,1648.3333333333333,-1.7308459466666666,0.7128268082047897,,False,preregistered
abs,3.0,1.0,3,3,trend72,-0.4133094148959979,1.0119898772526037,0.9585990083139524,8407,3771.333333333334,-1.0447154783333332,0.2237790588393947,,False,preregistered
abs,3.0,1.0,3,5,none,2.263698984723413,1.034817847150027,0.858239805759456,5191,1588.2666666666669,-1.6313097353333332,0.7968314663246299,,False,preregistered
abs,3.0,1.0,3,5,trend72,-0.3170344242685319,1.014163064736417,0.9463730339605344,11640,3752.2,-1.0161872566666663,0.2633401068362169,,False,preregistered
abs,3.0,1.0,3,10,none,1.255423593779616,1.0300097779451816,0.8805357735342626,6947,1513.4492063492064,-1.5488303042976188,0.6884910590137694,,False,preregistered
abs,3.0,1.0,3,10,trend72,-0.4151366241861913,1.0111560559959574,0.9508676245500336,18109,3781.195238095238,-0.99575561434127,0.2078036129986941,,False,preregistered
abs,3.0,1.0,6,3,none,3.5593414354447432,1.039242410996506,0.8746562454185728,2415,1000.3333333333334,-1.6673861649999997,0.8921893588364643,,False,preregistered
abs,3.0,1.0,6,3,trend72,-0.7994234219493077,0.9930028792738272,0.97186903161576,7713,3434.0,-1.011487356666667,-0.1353870895777496,,False,preregistered
abs,3.0,1.0,6,5,none,4.031956562327738,1.040055486286189,0.7835542775570151,3365,984.7666666666668,-1.5720111661666667,0.918047725273816,,False,preregistered
abs,3.0,1.0,6,5,trend72,-0.8092838832706447,0.990871573039376,0.9725923489388814,10837,3450.0333333333338,-0.9844907181666668,-0.1775936671632658,,False,preregistered
abs,3.0,1.0,6,10,none,2.429219122457784,1.035109549308343,0.8091572461282321,4818,945.7650793650794,-1.4911596927261903,0.8057426745858391,,False,preregistered
abs,3.0,1.0,6,10,trend72,-0.8085114237546841,0.9906806746584448,0.972481339438293,17337,3468.5365079365083,-0.9599361736944444,-0.1807985879281892,,False,preregistered
abs,5.0,0.25,1,3,none,0.3654749610419245,1.0257542742038768,0.9239855037976308,4943,1962.6666666666663,-1.7282205383333331,0.5775680421507856,,False,preregistered
abs,5.0,0.25,1,3,trend72,0.4214866020725571,1.028139956234302,0.9053793918886136,8232,3747.6666666666665,-1.046022255,0.5087466480275898,,False,preregistered
abs,5.0,0.25,1,5,none,0.3810008747394702,1.0247137448845272,0.9076150840990688,6187,1745.3666666666666,-1.6459468826666668,0.5599445996829956,,False,preregistered
abs,5.0,0.25,1,5,trend72,0.270430200586919,1.025295536621004,0.9074304113881024,11132,3702.266666666667,-1.02631269,0.4632193289308734,,False,preregistered
abs,5.0,0.25,1,10,none,1.2416290236944074,1.0303491690725637,0.8707343788441054,7786,1516.8722222222225,-1.5702027737380957,0.6866521036701255,,False,preregistered
abs,5.0,0.25,1,10,trend72,0.1125316502063653,1.0225788673232243,0.914737373650595,16506,3662.951587301587,-1.0091389896746032,0.4148197388518574,,False,preregistered
abs,5.0,0.25,3,3,none,0.3293011439704796,1.0251904457683565,0.9219304066781802,2391,908.0,-1.67790278,0.5624378656855931,,False,preregistered
abs,5.0,0.25,3,3,trend72,-0.9456410042699908,0.9697042445271212,0.9868051793679364,7405,3248.666666666667,-1.0070652633333337,-0.5776732966052958,,False,preregistered
abs,5.0,0.25,3,5,none,0.4521242462812798,1.025345775027077,0.8921170448002207,3074,794.2,-1.5884501296666669,0.5675833597587971,,False,preregistered
abs,5.0,0.25,3,5,trend72,-0.9201771527689864,0.9752953245640504,0.9803173649762158,10183,3184.333333333333,-0.9768708756666664,-0.4670602363172773,,False,preregistered
abs,5.0,0.25,3,10,none,0.1591947044115613,1.0220035456277967,0.8996338937326792,4063,676.5023809523809,-1.509246401333333,0.4934552406720831,,False,preregistered
abs,5.0,0.25,3,10,trend72,-0.9316174442589176,0.9720254811942534,0.9831383002068316,15936,3165.35,-0.9545589515595236,-0.530235655693482,,False,preregistered
abs,5.0,0.25,6,3,none,0.6163771975297523,1.0277085170920586,0.9562017161306388,1507,574.3333333333334,-1.5546232933333333,0.6056582874442558,,False,preregistered
abs,5.0,0.25,6,3,trend72,-0.9213184261024386,0.977555251166748,0.9891170023852576,7045,3133.333333333333,-0.9407127116666666,-0.4246260613374661,,False,preregistered
abs,5.0,0.25,6,5,none,0.3374619835372245,1.024433134520007,0.9408060522594052,1934,494.4,-1.4632381755,0.5352742750978453,,False,preregistered
abs,5.0,0.25,6,5,trend72,-0.9143161289574702,0.97760841509246,0.9881484657971916,10056,3115.5,-0.9100515396666666,-0.4231872750670656,,False,preregistered
abs,5.0,0.25,6,10,none,-0.2222251942560055,1.0169626102484317,0.9593960510005556,2643,403.72857142857146,-1.3890618207499998,0.3696963352634293,,False,preregistered
abs,5.0,0.25,6,10,trend72,-0.9251211894877734,0.9751052536717392,0.9896429891290652,16113,3096.6849206349207,-0.8834311775436507,-0.4668957021915454,,False,preregistered
abs,5.0,0.5,1,3,none,-0.5562173521981348,1.0125558427946093,0.960850614483428,4927,2096.6666666666665,-1.7032918316666668,0.2666917075760626,,False,preregistered
abs,5.0,0.5,1,3,trend72,-0.4106358568388193,1.011632011364191,0.9308956875631677,7393,3461.333333333333,-0.9927744566666666,0.1937514777990386,,False,preregistered
abs,5.0,0.5,1,5,none,-0.4766942929674931,1.0129704670650754,0.9462211428708012,6099,1938.6666666666667,-1.631924472833333,0.2781767607216611,,False,preregistered
abs,5.0,0.5,1,5,trend72,-0.3599951090176618,1.0123144829252737,0.925320647410918,9897,3415.5666666666666,-0.9779902331666668,0.2071730748660073,,False,preregistered
abs,5.0,0.5,1,10,none,-0.2207728671685003,1.0175685948628637,0.9247407727002812,7711,1760.072222222222,-1.5675874787579365,0.3759352804322247,,False,preregistered
abs,5.0,0.5,1,10,trend72,-0.4491331845980038,1.0088005712007082,0.9321207477472572,14563,3396.846031746032,-0.9638191966984128,0.1484157314816691,,False,preregistered
abs,5.0,0.5,3,3,none,0.2600090483011346,1.025928067088388,0.9248202354284036,2347,952.3333333333331,-1.649901585,0.5409770265409961,,False,preregistered
abs,5.0,0.5,3,3,trend72,-0.9019172772155036,0.9760964336099316,0.9745617244830048,6289,2851.333333333333,-0.980548385,-0.4132756914698142,,False,preregistered
abs,5.0,0.5,3,5,none,0.6049421404924031,1.028130917229965,0.8671242128432288,2981,870.3000000000001,-1.5758590723333334,0.5902919328782579,,False,preregistered
abs,5.0,0.5,3,5,trend72,-0.8621179120051097,0.9815908058592574,0.963855213626802,8608,2826.333333333333,-0.958321092,-0.3170097814697942,,False,preregistered
abs,5.0,0.5,3,10,none,0.3649334678923965,1.025475369606503,0.8649800249699134,3918,774.3809523809524,-1.5033962093293651,0.5348356366954458,,False,preregistered
abs,5.0,0.5,3,10,trend72,-0.8846734959334281,0.9775425828609168,0.9697679958776916,13711,2833.2055555555557,-0.94057371259127,-0.3879941404537134,,False,preregistered
abs,5.0,0.5,6,3,none,0.927721755995351,1.0310285167588495,0.9565977646052036,1446,575.3333333333334,-1.52595209,0.6399422526673357,,False,preregistered
abs,5.0,0.5,6,3,trend72,-0.9010701988594704,0.974693489304064,0.9760687619788908,5710,2614.0,-0.9157072783333332,-0.4462264566567389,,False,preregistered
abs,5.0,0.5,6,5,none,1.1297616464603846,1.0317642755237268,0.927658427619774,1868,527.8666666666667,-1.4558174066666667,0.6594261214671489,,False,preregistered
abs,5.0,0.5,6,5,trend72,-0.8888278719405405,0.97565864045799,0.9726522472190428,8062,2621.466666666667,-0.8920596036666666,-0.429230419814565,,False,preregistered
abs,5.0,0.5,6,10,none,0.4328620073882394,1.025580352475823,0.9370619077292895,2644,480.9936507936508,-1.3946206541349206,0.5316009265510941,,False,preregistered
abs,5.0,0.5,6,10,trend72,-0.8945569499367766,0.9740766896343772,0.9740777573792244,13133,2614.1055555555554,-0.871063849734127,-0.4567023256057658,,False,preregistered
abs,5.0,1.0,1,3,none,-0.3032013696451989,1.019052436232125,0.9273986842341034,4920,2376.0,-1.6463123383333331,0.3740404451889039,,False,preregistered
abs,5.0,1.0,1,3,trend72,0.2325673471805904,1.0284098398869406,0.8768884810901768,6458,3196.0,-0.9420961883333332,0.4306160122323678,,False,preregistered
abs,5.0,1.0,1,5,none,-0.2832450584741678,1.0180186658239871,0.9235678210519668,6030,2285.9333333333334,-1.5862016078333334,0.3567846606141076,,False,preregistered
abs,5.0,1.0,1,5,trend72,0.2303795213195516,1.0275559881391192,0.8776928739985906,8546,3189.833333333334,-0.9310128366666668,0.4226509127499976,,False,preregistered
abs,5.0,1.0,1,10,none,-0.1854828209572212,1.019237336220134,0.923493711213103,7770,2190.4,-1.5299160646468253,0.3803664427750232,,False,preregistered
abs,5.0,1.0,1,10,trend72,-0.0030290717794183,1.0221250899065093,0.8957373821659709,12179,3190.3984126984124,-0.9197408356150792,0.3405277528336142,,False,preregistered
abs,5.0,1.0,3,3,none,2.433768526767681,1.0432728103262103,0.8901379603056272,2456,1139.6666666666667,-1.575971708333333,0.8109469121189089,,False,preregistered
abs,5.0,1.0,3,3,trend72,-0.6572907031600908,0.996344357781652,0.939018606153671,5172,2482.0,-0.9128059383333332,-0.0556968458991515,,False,preregistered
abs,5.0,1.0,3,5,none,4.004897027711869,1.048995261299658,0.8008699337795204,3078,1093.9666666666667,-1.509491085,0.9206671609513728,,False,preregistered
abs,5.0,1.0,3,5,trend72,-0.5674704474389876,1.0012350030724644,0.9210556255592576,7189,2493.1000000000004,-0.8954799633333332,0.0187728564482702,,False,preregistered
abs,5.0,1.0,3,10,none,3.31936381803209,1.0467004954728558,0.804257782212378,4224,1041.6595238095238,-1.4462180229960315,0.8768285521367877,,False,preregistered
abs,5.0,1.0,3,10,trend72,-0.5619443488403906,1.0012915615069742,0.9210487583556084,11149,2519.255555555556,-0.882979245734127,0.0196271587839184,,False,preregistered
abs,5.0,1.0,6,3,none,0.6911303971976219,1.0317557814843883,0.924352863153848,1523,708.3333333333334,-1.4759285166666665,0.5923386289494648,,False,preregistered
abs,5.0,1.0,6,3,trend72,-0.6833678992728897,0.9947391656848044,0.9275818983843126,4651,2169.333333333333,-0.85587634,-0.0797530653934799,,False,preregistered
abs,5.0,1.0,6,5,none,1.3308543692539394,1.036473948476427,0.8631622402362824,1953,686.4333333333335,-1.4155314945000002,0.6819933875614987,,False,preregistered
abs,5.0,1.0,6,5,trend72,-0.6997622332831386,0.9923510576792236,0.9222038835156052,6738,2194.7000000000003,-0.8387780023333334,-0.1162814629862733,,False,preregistered
abs,5.0,1.0,6,10,none,0.7198202994356604,1.0311108397789266,0.8649224211752751,2880,664.4579365079366,-1.362799701357143,0.5814514090130704,,False,preregistered
abs,5.0,1.0,6,10,trend72,-0.683254387990462,0.9933631801347608,0.9174369358398562,10689,2215.261904761905,-0.8233484188531746,-0.1006917053606844,,False,preregistered
abs,8.0,0.25,1,3,none,1.556995163312799,1.0396416938584354,0.8780776695381605,3019,1282.6666666666663,-1.56454225,0.7236446725458449,,False,preregistered
abs,8.0,0.25,1,3,trend72,-0.5434291204043953,1.0051573820377546,0.930227849844982,5137,2413.333333333333,-0.8774123850000001,0.0722177305485744,,False,preregistered
abs,8.0,0.25,1,5,none,1.418410581548652,1.038068528797335,0.848171513628871,3644,1140.1666666666667,-1.5048286355,0.699974026820575,,False,preregistered
abs,8.0,0.25,1,5,trend72,-0.5658027721347818,1.0031749256626608,0.9281021050261328,6895,2371.3,-0.8658935806666666,0.0443642831090242,,False,preregistered
abs,8.0,0.25,1,10,none,2.3165984561574424,1.043498500178192,0.7996482747802697,4624,979.334126984127,-1.4466175030119048,0.7943304865508394,,False,preregistered
abs,8.0,0.25,1,10,trend72,-0.6187145452494841,0.9993365586755568,0.933055244330432,10456,2352.631746031746,-0.8537120341031745,-0.009282852109172,,False,preregistered
abs,8.0,0.25,3,3,none,0.2394522568943056,1.0268879770580706,0.947258530409752,1461,590.0,-1.5234360666666666,0.5073995283698657,,False,preregistered
abs,8.0,0.25,3,3,trend72,-0.8681318853885018,0.9764717782857484,0.9671844928917624,4511,2088.0,-0.8987624649999999,-0.3678467918839173,,False,preregistered
abs,8.0,0.25,3,5,none,0.3094193262649707,1.0267987154742766,0.9291676547509148,1828,520.1333333333333,-1.4614122956666666,0.5078990932657367,,False,preregistered
abs,8.0,0.25,3,5,trend72,-0.8509057606670478,0.97815577394185,0.9628977551924356,6240,2073.8,-0.879606661,-0.3405148972403262,,False,preregistered
abs,8.0,0.25,3,10,none,0.1609339629335373,1.024467779683897,0.9275095607128128,2384,438.0904761904762,-1.4088673141111112,0.463246064327369,,False,preregistered
abs,8.0,0.25,3,10,trend72,-0.858530447853542,0.9764777211070848,0.9647951659296986,9959,2062.319841269841,-0.8625946875753969,-0.3671676605217545,,False,preregistered
abs,8.0,0.25,6,3,none,1.5317774178806407,1.040332558419403,0.9401884396987996,872,351.3333333333333,-1.3967372916666667,0.716783543359074,,False,preregistered
abs,8.0,0.25,6,3,trend72,-0.7845375944265348,0.9890479068458782,0.9648068581223794,4029,1879.0,-0.830767425,-0.163173585914946,,False,preregistered
abs,8.0,0.25,6,5,none,1.972117241399328,1.0426224061952103,0.9059517385753788,1144,316.3,-1.3404588826666668,0.7587284352783568,,False,preregistered
abs,8.0,0.25,6,5,trend72,-0.8111283463699289,0.9850030859743244,0.9657608735985236,5826,1892.9,-0.8126779556666667,-0.2236643196647147,,False,preregistered
abs,8.0,0.25,6,10,none,2.087918696375946,1.0433217607492022,0.9042066319465808,1463,265.49126984126985,-1.3017998181428574,0.7688126217235189,,False,preregistered
