family,bucket,horizon_bars,count,t_stat,edge,edge_h1,edge_h2,direction,passes
time_of_day,h01,4,67228,-3.595281144580927,-0.00024409492803472858,-0.0002630628727394427,-0.00023028021162998244,-1,False
time_of_day,h02,4,67228,7.927450007469762,0.00022702452723178258,2.0110435340821764e-05,0.0003773409513875705,1,False
time_of_day,h03,4,67228,9.393672448753733,0.0002639414425015368,0.00015177893583295286,0.00034544256462349277,1,False
time_of_day,h04,4,67228,7.472805429805017,0.00019018091201980047,1.2115271260658048e-05,0.00031954538083782717,1,False
time_of_day,h05,4,67228,3.9934520294147946,6.442496527840524e-05,-6.910786322683485e-05,0.00016144605063565857,1,False
time_of_day,h06,4,67228,5.220520129241291,0.00011844169185534428,3.975233376011893e-05,0.0001756316858654878,1,False
time_of_day,h07,4,67228,3.7640049331083274,6.168938966611403e-05,0.00011030712396256203,2.641959408163377e-05,1,False
time_of_day,h08,4,67228,9.744758266029764,0.0002719635815632381,0.0003035007973524685,0.00024909963322836695,1,False
time_of_day,h09,4,67228,-1.5804291652845854,-0.00013795192142607702,0.0001544165253449915,-0.0003502517638470355,-1,False
time_of_day,h10,4,67230,-4.805382952695041,-0.0002504791041562815,-0.00015157493884659766,-0.00032226544079112313,-1,False
time_of_day,h11,4,67232,-0.8564264261224867,-0.000116167533977747,-0.00017528439772779547,-7.319221243077841e-05,-1,False
time_of_day,h12,4,67240,-7.890212522337394,-0.00042386690933253273,-0.0005367054447545731,-0.0003418789318981866,-1,False
time_of_day,h13,4,67244,-3.996388201317452,-0.00028880071423010765,-0.0008160909331644097,9.414173084391423e-05,-1,False
time_of_day,h14,4,67246,-3.2215895522953106,-0.00024950863606341923,-0.0005387725240528425,-3.941802648359452e-05,-1,False
time_of_day,h15,4,67248,-2.078343814897805,-0.00018562102633818596,-0.0002525354316456583,-0.0001369824658962317,-1,False
time_of_day,h16,4,67254,-2.2362108706703867,-0.00018774561321771954,1.885412801153638e-05,-0.00033774302190882224,-1,False
time_of_day,h17,4,67256,4.935124595414909,0.00015223951912679562,0.0005896376698763193,-0.0001653950965946478,1,False
time_of_day,h18,4,67256,-1.73089425370973,-0.00015349720811504494,-2.8878052805929948e-05,-0.00024396733307165765,-1,False
time_of_day,h19,4,67256,-0.008585030564611077,-8.281068932093559e-05,-0.00016063843968471323,-2.6247138850153388e-05,-1,False
time_of_day,h20,4,67256,5.928313381138192,0.00016224001698150465,1.951486690145282e-05,0.00026593820942093596,1,False
time_of_day,h21,4,67256,17.181771691510924,0.0006292792595006964,0.0006594567375380002,0.0006074031378064471,1,False
time_of_day,h22,4,67256,7.593479414948588,0.00019512074007832102,0.0005568935230014758,-6.758842471961949e-05,1,False
time_of_day,h23,4,67164,6.706506166669559,0.000205514106949275,0.0004011510885174977,6.289703188976185e-05,1,False
